Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
12076417,"Jun 30, 2012, 10:02:42 AM","Jun 30, 2012",Ride,,6923,31.55,,false,,activities/12076417.gpx,81.19300079345703,,6923.0,5807.0,31552.599609375,9.51587963104248,,72.39089965820312,,-0.19505099952220917,31.208799362182617,79.9989013671875,-0.00034086298546753824,,,,,,,,80.91570281982422,523.9133911132812,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12276466,"Jul 2, 2012, 9:32:05 AM","Jul 2, 2012",Ride,,7810,38.41,,false,Ruby,activities/12276466.gpx,81.19300079345703,8.164660453796387,7810.0,7585.0,38416.3984375,15.699000358581543,,187.48199462890625,,0.9010760188102722,41.58039855957031,177.2480010986328,-3.918199986685522e-09,,,,,,,,104.21800231933594,881.4002685546875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
13093736,"Jul 11, 2012, 10:32:59 AM","Jul 11, 2012 Kelly & Forbidden Drive",Ride,,9117,34.82,,false,Ruby,activities/13093736.gpx,81.19300079345703,8.164660453796387,9117.0,8269.0,34821.1015625,11.486499786376953,,158.99899291992188,,2.6601200103759766,47.31460189819336,91.34950256347656,-0.00023883899848442525,,,,,,,,87.49700164794922,806.7166748046875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
13229761,"Jul 12, 2012, 10:46:34 PM","Jul 12, 2012 Wiss",Ride,,6648,18.74,,false,Ruby,activities/13229761.gpx,81.19300079345703,8.164660453796387,6648.0,6088.0,18747.30078125,9.460490226745605,,224.6999969482422,,12.2121000289917,70.03569793701172,58.53010177612305,-0.0019431000109761953,,,,,,,,96.00559997558594,651.697509765625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
15031741,"Jul 28, 2012, 10:25:56 AM","Jul 28, 2012",Ride,,7978,29.41,,false,Ruby,activities/15031741.gpx,81.19300079345703,8.164660453796387,7978.0,6387.0,29418.599609375,10.167699813842773,,63.16299819946289,,-0.07219389826059341,35.27149963378906,84.67240142822266,4.397919838083908e-05,,,,,,,,63.6599006652832,453.35430908203125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
36628109,"Dec 16, 2012, 5:02:32 PM","Dec 16, 2012",Ride,,6662,28.86,,false,Ruby,activities/36628109.gpx,81.19300079345703,8.164660453796387,6662.0,6121.0,28868.30078125,11.235600471496582,,133.10699462890625,,0.9662749767303467,37.339900970458984,53.60110092163086,-0.07986339926719666,,,,,,,,88.97350311279297,607.236572265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
42156421,"Feb 24, 2013, 3:56:06 PM","Feb 24, 2013",Ride,,18985,69.61,,false,Ruby,activities/42156421.gpx,81.19300079345703,8.164660453796387,18985.0,14122.0,69609.203125,11.457300186157227,,196.5469970703125,,0.9312700033187866,49.03179931640625,73.81199645996094,-1.0207599837625861e-17,,,,,,,,83.94229888916016,1321.7579345703125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
47542163,"Apr 6, 2013, 6:24:49 PM","Apr 6, 2013",Ride,,6193,29.16,,false,Ruby,activities/47542163.gpx,81.19300079345703,8.164660453796387,6193.0,5540.0,29160.900390625,11.76669979095459,,61.99140167236328,,2.6659998893737793,35.863399505615234,79.81449890136719,0.00683070020750165,,,,,,,,79.73539733886719,492.5335388183594,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
53816600,"May 12, 2013, 1:16:31 PM",Cyclofemme Philadelphia,Ride,,12129,50.48,,false,Ruby,activities/53816600.gpx,81.19300079345703,8.164660453796387,12129.0,9965.0,50481.3984375,14.800000190734863,,375.1730041503906,,7.699999809265137,109.9000015258789,109.29000091552734,-0.000396185991121456,,,,,,,,98.15450286865234,1090.5921630859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
60577933,"Jun 15, 2013, 9:34:03 PM","Jun 15, 2013 sweet evening ride",Ride,,4937,27.43,,false,Ruby,activities/60577933.gpx,81.19300079345703,8.164660453796387,4937.0,4835.0,27429.900390625,11.0,,106.3219985961914,,0.8999999761581421,54.599998474121094,19.5,-0.0003645659890025854,,,,,,,,111.41000366210938,600.6140747070312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,234390.0,,,,,,,,,,,
